ID_CODE,NAME,SURNAME,DISPLAY_NAME,SORT_NAME,BIRTH_FLAG,BIRTH_PLACE,BIRTH_YEAR,DEATH_FLAG,DEATH_PLACE,DEATH_YEAR,STUDENT_OF
j_homs,Joaquim,Homs i Oller,,"Homs, Joaquim",es,Barcelona,1906,es,Barcelona,2003,r_gerhard
r_goberna,Robert,Goberna i Franchi,,"Goberna, Robert",es,Barcelona,1859,es,Barcelona,1934,cg_vidiella
n_bonet,Narcís,Bonet i Armengol,,"Bonet, Narcís",es,Barcelona,1933,fr,Paris,2019,"e_toldra,j_massia,m_carbonell,n_boulanger"
b_selva,Marie Blanche,Selva,Blanca Selva i Henry,"Selva, Blanca",fr,Briva,1884,fr,Sent Amanç de Talende,1942,"s_chene,a_duvernoy,v_indy"
r_tarrago,Renata,Tarragó Fàbregas,,"Tarragó, Renata",es,Barcelona,1927,es,Badalona,2005,g_tarrago
g_landazabal,Germán María,Landazábal Galagarza,,"Landazábal, Germán",es,Araia,1884,ar,Gualeguay,1953,"js_aramburu,j_trago,v_arin"
l_magenti,Leopold,Magenti i Chelvi,,"Magenti, Leopold",es,Alberic,1894,es,València,1969,"jj_nin,j_turina"
j_segui,Salvador,Seguí Pérez,,"Seguí, Salvador",es,Massanassa,1939,es,Massanassa,2004,"m_palau,l_magenti"
e_zubeldia,Emiliana,de Zubeldía i Inda,,"Zubeldía, Emiliana de",es,Jaitz,1888,mx,Hermosillo,1987,"b_selva,v_indy,d_paque"
j_witkowski,Jean,Witkowski,,"Witkowski, Jean",fr,Vouziers,1895,fr,Lyon,1953,"b_selva,gm_witkowski"
n_boulanger,Juliette Nadia,Boulanger,,"Boulanger, Nadia",fr,Paris,1887,fr,Paris,1979,"g_faure,l_vierne,a_gedalge,p_vidal,cm_widor"
s_panxa_verda,Salvador,García García,Panxa Verda,"García, Salvador",es,Beniopa,1891,es,Quart de Poblet,1964,"f_tarrega,m_palau"
f_tarrega,Francesc d'Assís,Tàrrega Eixea,,"Tàrrega, Francesc",es,Vila-real,1852,es,Barcelona,1909,"m_galiana,j_arcas"
j_rodrigo,Joaquín,Rodrigo i Vidre,,"Rodrigo, Joaquín",es,Sagunt,1901,es,Madrid,1999,"f_antich,p_dukas,m_emmanuel,a_pirro"
